category,id
거궁,1
복합문화공간,1
구청,1
거리골목,1
가구상가단지,1
관광안내소,1
인구보건복지협회,1
버스터미널정류장,1
지방교육청,1
군구립도서관,1
상공회의소,1
세계문화유산,1
워터파크,1
문화재,1
청소년복지시설,1
종합버스터미널,1
구민체육센터,1
문화센터,1
우체국,1
정류소정류장,1
면허시험장,1
관람체험,1
공항,1
실내체육관,1
광장,1
지역명소,1
아쿠아리움,1
서점,1
철도,1
기차역,1
적십자,1
배드민턴장,1
체육관,1
고용복지플러스센터,1
보건소,1
지방법원,1
병무청,1
지방노동청,1
공공행정시설,1
기념물,1
KTX정차역,1
공연장,1
불교,1
시외버스터미널,1
도서관,1
궁궐,1
지방검찰청,1
지하철출구번호,1
지하철차고지,1
국립병원,1
아파트관리,1
화장실,1
편의시설,1
아파트,1
교차로,1
도보코스,1
주식증권,1
중소기업벤처,1
종합운동장,1
모노레일,1
기타도로시설,1
예정공사중,1
수도권,1
여성모자복지시설,1
부속건물,1
월드컵경기장,1
공사공단,1
개발지구,1
보건지소,1
개신교,1
축구장,1
건강검진,1
한국공인중개사협회,1
72420,1
주상복합,1
오피스텔,1
기업빌딩,1
도로명칭,1
프로야구장,1
보행자,1
행정복지센터,1
SRT정차역,1
재개발재건축,1
문화유적,1
문화거리,1
고등학교,1
공사중,1
기념관생가,1
촬영장소,1
초등학교,1
공연연극시설,2
먹자거리,2
쇼핑센터할인매장,2
슈퍼마트,2
중고가구,2
방향제탈취제,2
애플서비스센터,2
정신건강의학과,2
종합패션,2
보청기,2
스포츠센터,2
SK주유소,2
헬스장,2
종합생활용품,2
화장품향수,2
쉐어하우스하숙,2
볼링장,2
아울렛,2
교습학원,2
롤러인라인스케이트장,2
중고가전,2
식료품,2
자동차,2
이비인후과,2
상가아케이드,2
반찬가게,2
음반CD,2
PC방,2
게임,2
요양병원,2
필라테스,2
신용조합,2
여성정장,2
한의원,2
요가원,2
문구팬시용품,2
인형장난감제조,2
세탁,2
콜택시,2
피부체형관리,2
온천스파,2
옷수선,2
장난감,2
귀금속시계,2
고시원고시텔,2
GS칼텍스주유소,2
컴퓨터모니터,2
안과,2
장난감대여,2
은행,2
찜질방,2
휴대폰수리,2
사진스튜디오,2
이불담요,2
스포츠시설,2
KT,2
애견카페,2
드럭스토어,2
정형외과,2
노래방,2
한복대여,2
머리염색,2
안경원,2
자산관리자산운용,2
목욕탕사우나,2
수학학원,2
여성,2
피부과,2
운전학원,2
예식장,2
캐주얼웨어,2
한방병원,2
관리업,2
캠핑용품,2
독서실,2
컴퓨터수리,2
렌터카,2
장례식장,2
방탈출카페,2
운세사주,2
미용,2
가구인테리어,2
치과,2
종합병원,2
심리상담,2
컨설팅,2
비디오DVD,2
세무서,2
농협,2
지원대행,2
수리AS,2
하나은행,2
약국,2
호텔,2
영화관,2
백화점,2
병원의원,2
산후조리원,2
실내운전연습장,2
재활의학과,2
공인중개사,2
