망원,Mangwon
합정,Hapjeong
상수,Sangsu
광흥창,Gwangheungchang
대흥,Daeheung
군자,Gunja
종로3가,Jongno3samga
둔촌동,Dunchondong
올림픽공원,OlympicPark
미사,Misa
하남풍산,HanamPungsan
응암,Eungam
역촌,Yeokchon
불광,Bulgwang
독바위,Dokbawi
연신내,Yeonsinnae
구산,Gusan
새절,Saejeol
증산,Jeungsan
디지털미디어시티,DigitalMediaCity
월드컵경기장,WorldCupStadium
마포구청,MapoguOffice
양재,Yangjae
매봉,Maebong
도곡,Dogok
대치,Daechi
학여울,Hangnyeoul
대청,Daecheong
일원,Irwon
수서,Suseo
남태령,Namtaeryeong
방화,Banghwa
개화산,Gaehwasan
김포공항,GimpoIntlAirport
송정,Songjeong
마곡,Magok
애오개,Aeogae
서대문,Seodaemun
광화문,Gwanghwamun
강변,Gangbyeon
잠실나루,Jamsillaru
잠실,Jamsil
잠실새내,Jamsilsaenae
동대입구,DonggukUniv
금호,Geumho
옥수,Oksu
압구정,Apgujeong
신사,Sinsa
잠원,Jamwon
고속터미널,ExpressBusTerminal
교대,SeoulNatlUnivofEducation
남부터미널,NambuBusTerminal
금정,Geumjeong
종합운동장,SportsComplex
삼성,Samseong
선릉,Seolleung
역삼,Yeoksam
강남,Gangnam
교대,SeoulNatlUnivofEducation
경복궁,Gyeongbokgung
안국,Anguk
종로3가,Jongno3samga
을지로3가,Euljiro3samga
공덕,Gongdeok
효창공원앞,Hyochangpark
방배,Bangbae
사당,Sadang
낙성대,Nakseongdae
서울대입구,SeoulNatlUniv
봉천,Bongcheon
신림,Sillim
신대방,Sindaebang
구로디지털단지,GuroDigitalComplex
신도림,Sindorim
문래,Mullae
영등포구청,YeongdeungpoguOffice
삼각지,Samgakji
녹사평,Noksapyeong
이태원,Itaewon
한강진,Hangangjin
버티고개,Beotigogae
약수,Yaksu
청구,Cheonggu
신당,Sindang
용답,Yongdap
신정네거리,Sinjeongnegeori
지축,Jichuk
구파발,Gupabal
연신내,Yeonsinnae
불광,Bulgwang
녹번,Nokbeon
홍제,Hongje
무악재,Muakjae
독립문,Dongnimmun
녹양,Nogyang
동묘앞,Dongmyo
창신,Changsin
사가정,Sagajeong
용마산,Yongmasan
중곡,Junggok
어린이대공원,ChildrensGrandPark
강남구청,GangnamguOffice
학동,Hakdong
을지로4가,Euljiro4saga
동대문역사문화공원,DongdaemunHistoryCulturePark
신당,Sindang
한양대,HanyangUniv
뚝섬,Ttukseom
성수,Seongsu
건대입구,KonkukUniv
구의,Guui
당산,Dangsan
합정,Hapjeong
홍대입구,HongikUniv
신촌,Sinchon
이대,EwhaWomansUniv
논현,Nonhyeon
반포,Banpo
을지로입구,Euljiro1ilga
을지로3가,Euljiro3samga
고속터미널,ExpressBusTerminal
내방,Naebang
이수,Isu
아현,Ahyeon
충정로,Chungjeongno
충정로,Chungjeongno
남성,Namseong
숭실대입구,SoongsilUniv
상도,Sangdo
장승배기,Jangseungbaegi
신대방삼거리,Sindaebangsamgeori
보라매,Boramae
신풍,Sinpung
대림,Daerim
남구로,Namguro
가산디지털단지,GasanDigitalComplex
철산,Cheolsan
광명사거리,Gwangmyeongsageori
천왕,Cheonwang
온수,Onsu
까치울,Kkachiul
가락시장,GarakMarket
경찰병원,NationalPoliceHospital
오금,Ogeum
당고개,Danggogae
상계,Sanggye
노원,Nowon
창동,Changdong
쌍문,Ssangmun
수유,Suyu
미아,Mia
미아사거리,Miasamgeori
길음,Gireum
성신여대입구,SungshinWomensUniv
한성대입구,HansungUniv
