,stationKor,stationEng
0,망원,Mangwon
1,합정,Hapjeong
2,상수,Sangsu
3,광흥창,Gwangheungchang
4,대흥,Daeheung
5,군자,Gunja
6,종로3가,Jongno3samga
7,둔촌동,Dunchondong
8,올림픽공원,OlympicPark
9,미사,Misa
10,하남풍산,HanamPungsan
11,응암,Eungam
12,역촌,Yeokchon
13,불광,Bulgwang
14,독바위,Dokbawi
15,연신내,Yeonsinnae
16,구산,Gusan
17,새절,Saejeol
18,증산,Jeungsan
19,디지털미디어시티,DigitalMediaCity
20,월드컵경기장,WorldCupStadium
21,마포구청,MapoguOffice
22,양재,Yangjae
23,매봉,Maebong
24,도곡,Dogok
25,대치,Daechi
26,학여울,Hangnyeoul
27,대청,Daecheong
28,일원,Irwon
29,수서,Suseo
30,남태령,Namtaeryeong
31,방화,Banghwa
32,개화산,Gaehwasan
33,김포공항,GimpoIntlAirport
34,송정,Songjeong
35,마곡,Magok
36,애오개,Aeogae
37,서대문,Seodaemun
38,광화문,Gwanghwamun
39,강변,Gangbyeon
40,잠실나루,Jamsillaru
41,잠실,Jamsil
42,잠실새내,Jamsilsaenae
43,동대입구,DonggukUniv
44,금호,Geumho
45,옥수,Oksu
46,압구정,Apgujeong
47,신사,Sinsa
48,잠원,Jamwon
49,고속터미널,ExpressBusTerminal
50,교대,SeoulNatlUnivofEducation
51,남부터미널,NambuBusTerminal
52,금정,Geumjeong
53,종합운동장,SportsComplex
54,삼성,Samseong
55,선릉,Seolleung
56,역삼,Yeoksam
57,강남,Gangnam
58,교대,SeoulNatlUnivofEducation
59,경복궁,Gyeongbokgung
60,안국,Anguk
61,종로3가,Jongno3samga
62,을지로3가,Euljiro3samga
63,공덕,Gongdeok
64,효창공원앞,Hyochangpark
65,방배,Bangbae
66,사당,Sadang
67,낙성대,Nakseongdae
68,서울대입구,SeoulNatlUniv
69,봉천,Bongcheon
70,신림,Sillim
71,신대방,Sindaebang
72,구로디지털단지,GuroDigitalComplex
73,신도림,Sindorim
74,문래,Mullae
75,영등포구청,YeongdeungpoguOffice
76,삼각지,Samgakji
